color-count,goods-title-link--jump,goods-title-link--jump href,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link,product_title
7.0,"SHEIN EZwear Women's Plus Size Sleeveless Jumpsuit With Inner Skirt And Pocket Shorts, Solid Color",https://us.shein.com/SHEIN-EZwear-Women-s-Plus-Size-Sleeveless-Jumpsuit-With-Inner-Skirt-And-Pocket-Shorts-Solid-Color-p-35764090.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#10 Best Seller,In Casual Plus Size Jumpsuits & Bodysuits,,,,<NA>,"SHEIN EZwear Women's Plus Size Sleeveless Jumpsuit With Inner Skirt And Pocket Shorts, Solid Color"
,SHEIN EZwear Plus Size Water Wash Slanted Pocket Straight Leg Denim Shorts,https://us.shein.com/SHEIN-EZwear-Plus-Size-Water-Wash-Slanted-Pocket-Straight-Leg-Denim-Shorts-p-31301320.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,2.6k+ sold recently,<NA>,SHEIN EZwear Plus Size Water Wash Slanted Pocket Straight Leg Denim Shorts
,"SHEIN Slayr Plus Size Vacation & Elegance Slim-Fit Colorful Striped Crochet Semi-Sheer Sleeveless Vest-Style Mini Crochet Dress, Summer, Pride Month, Rainbow-E",https://us.shein.com/SHEIN-Slayr-Plus-Size-Vacation-Elegance-Slim-Fit-Colorful-Striped-Crochet-Semi-Sheer-Sleeveless-Vest-Style-Mini-Crochet-Dress-Summer-Pride-Month-Rainbow-E-p-33430829.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#2 Best Seller,In Casual Plus Size Sweater Dresses,,,,<NA>,"SHEIN Slayr Plus Size Vacation & Elegance Slim-Fit Colorful Striped Crochet Semi-Sheer Sleeveless Vest-Style Mini Crochet Dress, Summer, Pride Month, Rainbow-E"
,SHEIN VCAY Plus Size Vacation Style Casual Jogger Pants With Pockets,https://us.shein.com/SHEIN-VCAY-Plus-Size-Vacation-Style-Casual-Jogger-Pants-With-Pockets-p-33940375.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,200+ sold recently,<NA>,SHEIN VCAY Plus Size Vacation Style Casual Jogger Pants With Pockets
,SHEIN POPSWAY Plus Size Women Summer Casual Letter Print Short Sleeve T-Shirt And Shorts 2 Piece Set,https://us.shein.com/SHEIN-POPSWAY-Plus-Size-Women-Summer-Casual-Letter-Print-Short-Sleeve-T-Shirt-And-Shorts-2-Piece-Set-p-33402219.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,70+ sold recently,<NA>,SHEIN POPSWAY Plus Size Women Summer Casual Letter Print Short Sleeve T-Shirt And Shorts 2 Piece Set
7.0,SHEIN SXY Plus Size Distressed Drawstring Denim Shorts Suitable For Daily Wear,https://us.shein.com/SHEIN-SXY-Plus-Size-Distressed-Drawstring-Denim-Shorts-Suitable-For-Daily-Wear-p-31126887.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,4.4k+ sold recently,<NA>,SHEIN SXY Plus Size Distressed Drawstring Denim Shorts Suitable For Daily Wear
10.0,SHEIN Essnce Plus Size Solid Color Casual 2pcs/Set Outfit,https://us.shein.com/SHEIN-Essnce-Plus-Size-Solid-Color-Casual-2pcs-Set-Outfit-p-28779656.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#2 Best Seller,In Elegant Plus Size Suits,,,,<NA>,SHEIN Essnce Plus Size Solid Color Casual 2pcs/Set Outfit
,SHEIN LUNE Plus Size Summer Casual V-Neck Dress With Curved Hemline,https://us.shein.com/SHEIN-LUNE-Plus-Size-Summer-Casual-V-Neck-Dress-With-Curved-Hemline-p-31868979.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,90+ sold recently,<NA>,SHEIN LUNE Plus Size Summer Casual V-Neck Dress With Curved Hemline
,SHEIN EZwear Plus Size Women's Solid Color Simple Casual Shorts For Daily Wear,https://us.shein.com/SHEIN-EZwear-Plus-Size-Women-s-Solid-Color-Simple-Casual-Shorts-For-Daily-Wear-p-34379531.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,400+ sold recently,<NA>,SHEIN EZwear Plus Size Women's Solid Color Simple Casual Shorts For Daily Wear
,SHEIN VCAY Plus Size Women's Random Printed Simple Daily Jumpsuit,https://us.shein.com/SHEIN-VCAY-Plus-Size-Women-s-Random-Printed-Simple-Daily-Jumpsuit-p-34987965.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,30+ sold recently,<NA>,SHEIN VCAY Plus Size Women's Random Printed Simple Daily Jumpsuit
4.0,SHEIN EZwear Coolmax Plus Size Light-Colored Distressed Denim Shorts,https://us.shein.com/SHEIN-EZwear-Coolmax-Plus-Size-Light-Colored-Distressed-Denim-Shorts-p-32963568.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,1.2k+ sold recently,<NA>,SHEIN EZwear Coolmax Plus Size Light-Colored Distressed Denim Shorts
8.0,SHEIN Essnce Plus Pocket Patched Romper,https://us.shein.com/SHEIN-Essnce-Plus-Pocket-Patched-Romper-p-11852478.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#5 Best Seller,In Casual Plus Size Jumpsuits & Bodysuits,,,,<NA>,SHEIN Essnce Plus Pocket Patched Romper
,"SHEIN SXY Plus Size One-Shoulder Solid Color Jumpsuit For Daily Wear, Spring & Summer",https://us.shein.com/SHEIN-SXY-Plus-Size-One-Shoulder-Solid-Color-Jumpsuit-For-Daily-Wear-Spring-Summer-p-33859757.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#6 Best Seller,In Casual Plus Size Jumpsuits & Bodysuits,,,,<NA>,"SHEIN SXY Plus Size One-Shoulder Solid Color Jumpsuit For Daily Wear, Spring & Summer"
,SHEIN VCAY Plus Size Vacation Style Ruffle Edge Camisole With Thin Straps,https://us.shein.com/SHEIN-VCAY-Plus-Size-Vacation-Style-Ruffle-Edge-Camisole-With-Thin-Straps-p-34988179.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#10 Best Sellers,in Plus Size Tank Tops & Camis,,,,<NA>,SHEIN VCAY Plus Size Vacation Style Ruffle Edge Camisole With Thin Straps
