color-count,goods-title-link,selling_proposition,price,discount,rank-title,rank-sub,product_title
15.0,Manfinity Homme Loose Fit Men's Solid Color Button Up Shirt,10k+ sold recently,,,,,Manfinity Homme Loose Fit Men's Solid Color Button Up Shirt
,Manfinity Joysei Men's Star Patterned Shorts With Drawstring Waist,,,,#8 Best Seller,in Blue Men Clothing,Manfinity Joysei Men's Star Patterned Shorts With Drawstring Waist
,"Men's Summer Casual Short Sleeve T-Shirt With Slogan And Character Print, Round Neck",,,,#10 Best Seller,in Figure Men T-Shirts,"Men's Summer Casual Short Sleeve T-Shirt With Slogan And Character Print, Round Neck"
11.0,Manfinity Homme Men's Contrast Color Short Sleeve Polo Shirt With Decorative Details,10k+ sold recently,,,,,Manfinity Homme Men's Contrast Color Short Sleeve Polo Shirt With Decorative Details
7.0,Manfinity EMRG Loose Fit Men Plus Letter Printed Graphic Tee,30+ sold recently,,,,,Manfinity EMRG Loose Fit Men Plus Letter Printed Graphic Tee
6.0,Manfinity Hypemode Loose Fit Men's Cotton Jeans With Slant Pockets Baggy Long Washed Skater Jean Cargo Plain Light Blue Going Out Y2K Friends,,,,#8 Best Seller,in Pocket Men Jeans,Manfinity Hypemode Loose Fit Men's Cotton Jeans With Slant Pockets Baggy Long Washed Skater Jean Cargo Plain Light Blue Going Out Y2K Friends
10.0,Manfinity Hypemode Men Solid Button Up Shirt & Drawstring Waist Pants Without Tee,,,,#2 Best Seller,in Fabric Men Shirt Co-ords,Manfinity Hypemode Men Solid Button Up Shirt & Drawstring Waist Pants Without Tee
8.0,Men's Summer Letter Printed Short Sleeve Round Neck Casual Commute T-Shirt,80+ sold recently,,,,,Men's Summer Letter Printed Short Sleeve Round Neck Casual Commute T-Shirt
6.0,Manfinity Homme Men's Simple Print/Pattern/Letter Short Sleeve T-Shirt,3.8k+ sold recently,,,,,Manfinity Homme Men's Simple Print/Pattern/Letter Short Sleeve T-Shirt
4.0,Manfinity Homme Men Plus Size Summer Casual Solid Texture Short Sleeve T-Shirt And Shorts Set,,,,#2 Best Sellers,in Men Plus Size Co-ords,Manfinity Homme Men Plus Size Summer Casual Solid Texture Short Sleeve T-Shirt And Shorts Set
