column,file,stage,dtype
goods-title-link--jump,us-shein-appliances-3987.csv,raw,object
goods-title-link--jump href,us-shein-appliances-3987.csv,raw,object
rank-title,us-shein-appliances-3987.csv,raw,object
rank-sub,us-shein-appliances-3987.csv,raw,object
price,us-shein-appliances-3987.csv,raw,object
discount,us-shein-appliances-3987.csv,raw,object
selling_proposition,us-shein-appliances-3987.csv,raw,object
goods-title-link,us-shein-appliances-3987.csv,raw,object
goods-title-link--jump,us-shein-automotive-4110.csv,raw,object
goods-title-link--jump href,us-shein-automotive-4110.csv,raw,object
price,us-shein-automotive-4110.csv,raw,object
discount,us-shein-automotive-4110.csv,raw,object
selling_proposition,us-shein-automotive-4110.csv,raw,object
goods-title-link,us-shein-automotive-4110.csv,raw,object
goods-title-link--jump,us-shein-baby_and_maternity-4433.csv,raw,object
goods-title-link--jump href,us-shein-baby_and_maternity-4433.csv,raw,object
selling_proposition,us-shein-baby_and_maternity-4433.csv,raw,object
price,us-shein-baby_and_maternity-4433.csv,raw,object
discount,us-shein-baby_and_maternity-4433.csv,raw,object
color-count,us-shein-baby_and_maternity-4433.csv,raw,float64
goods-title-link,us-shein-baby_and_maternity-4433.csv,raw,object
color-count,us-shein-bags_and_luggage-4299.csv,raw,float64
goods-title-link--jump,us-shein-bags_and_luggage-4299.csv,raw,object
goods-title-link--jump href,us-shein-bags_and_luggage-4299.csv,raw,object
selling_proposition,us-shein-bags_and_luggage-4299.csv,raw,object
price,us-shein-bags_and_luggage-4299.csv,raw,object
discount,us-shein-bags_and_luggage-4299.csv,raw,object
rank-title,us-shein-bags_and_luggage-4299.csv,raw,object
rank-sub,us-shein-bags_and_luggage-4299.csv,raw,object
goods-title-link,us-shein-bags_and_luggage-4299.csv,raw,object
goods-title-link--jump,us-shein-beauty_and_health-4267.csv,raw,object
goods-title-link--jump href,us-shein-beauty_and_health-4267.csv,raw,object
selling_proposition,us-shein-beauty_and_health-4267.csv,raw,object
price,us-shein-beauty_and_health-4267.csv,raw,object
discount,us-shein-beauty_and_health-4267.csv,raw,object
color-count,us-shein-beauty_and_health-4267.csv,raw,float64
rank-title,us-shein-beauty_and_health-4267.csv,raw,object
rank-sub,us-shein-beauty_and_health-4267.csv,raw,object
goods-title-link,us-shein-beauty_and_health-4267.csv,raw,object
color-count,us-shein-curve-2849.csv,raw,float64
goods-title-link--jump,us-shein-curve-2849.csv,raw,object
goods-title-link--jump href,us-shein-curve-2849.csv,raw,object
rank-title,us-shein-curve-2849.csv,raw,object
rank-sub,us-shein-curve-2849.csv,raw,object
price,us-shein-curve-2849.csv,raw,object
discount,us-shein-curve-2849.csv,raw,object
selling_proposition,us-shein-curve-2849.csv,raw,object
goods-title-link,us-shein-curve-2849.csv,raw,object
goods-title-link--jump,us-shein-electronics-4395.csv,raw,object
goods-title-link--jump href,us-shein-electronics-4395.csv,raw,object
rank-title,us-shein-electronics-4395.csv,raw,object
rank-sub,us-shein-electronics-4395.csv,raw,object
price,us-shein-electronics-4395.csv,raw,object
discount,us-shein-electronics-4395.csv,raw,object
selling_proposition,us-shein-electronics-4395.csv,raw,object
color-count,us-shein-electronics-4395.csv,raw,float64
goods-title-link,us-shein-electronics-4395.csv,raw,object
